"Category","Item","Serving.Size","Calories","Calories.from.Fat","Total.Fat","Saturated.Fat","Trans.Fat","Cholesterol","Carbohydrates","Dietary.Fiber","Sugars","Protein","Sodium_DV","Vitamin.A_DV","Vitamin.C_DV","Calcium_DV","Iron_DV","Quantity","Size"
"Coffee & Tea","Hot Chocolate (Small)","12 fl oz cup",360,120,13,8,0,40,50,1,45,11,8,10,0,40,6,41,"Small"
"Coffee & Tea","Hot Chocolate (Medium)","16 fl oz cup",440,140,16,9,0.5,50,61,1,56,14,9,15,0,45,6,54,"Medium"
"Coffee & Tea","Hot Chocolate (Large)","20 fl oz cup",540,180,20,12,0.5,60,73,1,68,17,12,20,0,60,8,68,"Large"
"Coffee & Tea","Hot Chocolate with Nonfat Milk (Small)","12 fl oz cup",280,30,3.5,2,0,15,50,1,46,12,7,15,0,40,6,41,"Small"
"Coffee & Tea","Hot Chocolate with Nonfat Milk (Medium)","16 fl oz cup",340,30,3.5,2,0,15,61,1,57,14,9,20,0,50,6,54,"Medium"
"Coffee & Tea","Hot Chocolate with Nonfat Milk (Large)","20 fl oz cup",400,35,3.5,2.5,0,20,74,1,69,19,12,25,0,60,8,68,"Large"
"Coffee & Tea","Regular Iced Coffee (Small)","16 fl oz cup",140,40,4.5,3,0,15,23,0,22,1,1,4,0,4,0,54,"Small"
"Coffee & Tea","Regular Iced Coffee (Medium)","22 fl oz cup",190,60,7,4.5,0,25,31,0,30,1,2,4,0,4,0,74,"Medium"
"Coffee & Tea","Regular Iced Coffee (Large)","32 fl oz cup",270,80,9,6,0,35,47,0,45,2,3,6,0,8,0,108,"Large"
"Coffee & Tea","Caramel Iced Coffee (Small)","16 fl oz cup",130,40,4.5,3,0,15,22,0,21,1,2,4,0,4,0,54,"Small"
"Coffee & Tea","Caramel Iced Coffee (Medium)","22 fl oz cup",180,60,7,4.5,0,25,29,0,28,1,2,4,0,4,0,74,"Medium"
"Coffee & Tea","Caramel Iced Coffee (Large)","32 fl oz cup",260,80,9,6,0,35,43,0,42,2,3,6,0,6,0,108,"Large"
"Coffee & Tea","Hazelnut Iced Coffee (Small)","16 fl oz cup",130,40,4.5,3,0,15,21,0,20,1,1,4,0,4,0,54,"Small"
"Coffee & Tea","Hazelnut Iced Coffee (Medium)","22 fl oz cup",180,60,7,4.5,0,25,29,0,28,1,2,4,0,4,0,74,"Medium"
"Coffee & Tea","Hazelnut Iced Coffee (Large)","32 fl oz cup",250,80,9,6,0,35,43,0,41,2,3,6,0,8,0,108,"Large"
"Coffee & Tea","French Vanilla Iced Coffee (Small)","16 fl oz cup",120,40,4.5,3,0,15,20,0,19,1,2,4,0,4,0,54,"Small"
"Coffee & Tea","French Vanilla Iced Coffee (Medium)","22 fl oz cup",170,60,7,4.5,0,25,27,0,26,1,2,4,0,4,0,74,"Medium"
"Coffee & Tea","French Vanilla Iced Coffee (Large)","32 fl oz cup",240,80,9,6,0,35,41,0,39,2,3,6,0,8,0,108,"Large"
"Coffee & Tea","Iced Coffee with Sugar Free French Vanilla Syrup (Small)","16 fl oz cup",80,40,4.5,3,0,15,9,0,1,1,3,4,0,4,0,54,"Small"
"Coffee & Tea","Iced Coffee with Sugar Free French Vanilla Syrup (Medium)","22 fl oz cup",120,60,7,4.5,0,25,12,0,2,1,4,4,0,4,0,74,"Medium"
"Coffee & Tea","Iced Coffee with Sugar Free French Vanilla Syrup (Large)","32 fl oz cup",160,80,9,6,0,35,18,0,2,2,6,6,0,8,0,108,"Large"
"Coffee & Tea","Iced Mocha (Small)","12 fl oz cup",290,100,11,7,0,35,41,1,34,8,5,10,0,25,4,41,"Small"
"Coffee & Tea","Iced Mocha (Medium)","16 fl oz cup",350,110,13,8,0,40,50,1,43,9,6,10,0,30,6,54,"Medium"
"Coffee & Tea","Iced Mocha (Large)","22 fl oz cup",480,150,16,10,0.5,50,70,2,62,14,9,15,0,40,8,74,"Large"
"Coffee & Tea","Iced Mocha with Nonfat Milk (Small)","12 fl oz cup",240,45,5,3,0,20,41,1,35,8,5,10,0,25,4,41,"Small"
"Coffee & Tea","Iced Mocha with Nonfat Milk (Medium)","16 fl oz cup",290,45,5,3.5,0,20,50,1,43,10,6,15,0,30,6,54,"Medium"
"Coffee & Tea","Iced Mocha with Nonfat Milk (Large)","22 fl oz cup",390,50,6,3.5,0,25,71,2,62,14,9,20,0,45,8,74,"Large"
"Coffee & Tea","Iced Caramel Mocha (Small)","12 fl oz cup",280,100,11,7,0,35,38,0,33,8,6,10,0,25,2,41,"Small"
"Coffee & Tea","Iced Caramel Mocha (Medium)","16 fl oz cup",340,110,13,7,0,40,46,1,41,9,7,10,0,30,2,54,"Medium"
"Coffee & Tea","Iced Caramel Mocha (Large)","22 fl oz cup",460,150,16,10,0.5,50,65,1,59,13,10,15,0,40,4,74,"Large"
"Coffee & Tea","Iced Nonfat Caramel Mocha (Small)","12 fl oz cup",230,45,5,3,0,20,38,0,33,8,6,10,0,25,2,41,"Small"
"Coffee & Tea","Iced Nonfat Caramel Mocha (Medium)","16 fl oz cup",270,45,5,3,0,20,47,1,41,10,7,15,0,30,2,54,"Medium"
"Coffee & Tea","Iced Nonfat Caramel Mocha (Large)","22 fl oz cup",370,50,6,3.5,0,25,65,1,59,14,10,20,0,45,4,74,"Large"
"Coffee & Tea","Frappé Mocha (Small)","12 fl oz cup",450,160,18,12,1,65,65,1,57,7,5,15,0,20,4,41,"Small"
"Coffee & Tea","Frappé Mocha (Medium)","16 fl oz cup",550,200,22,14,1,75,80,1,71,9,7,15,0,25,4,54,"Medium"
"Coffee & Tea","Frappé Mocha (Large)","22 fl oz cup",670,240,26,17,1,90,98,1,88,11,8,20,0,35,4,74,"Large"
"Coffee & Tea","Frappé Caramel (Small)","12 fl oz cup",450,170,19,12,1,65,64,0,57,7,5,15,0,25,2,41,"Small"
"Coffee & Tea","Frappé Caramel (Medium)","16 fl oz cup",550,200,23,15,1,80,79,0,71,9,7,20,0,30,2,54,"Medium"
"Coffee & Tea","Frappé Caramel (Large)","22 fl oz cup",670,250,27,17,1.5,95,96,0,88,11,8,20,0,35,2,74,"Large"
"Coffee & Tea","Frappé Chocolate Chip (Small)","12 fl oz cup",530,200,23,14,1,65,76,1,67,8,6,15,0,25,4,41,"Small"
